key,orig_category,orig_is_rl,orig_reward_type,orig_credit_granularity,orig_orchestration_form,ann_category,ann_is_rl,ann_reward_type,ann_credit_granularity,ann_orchestration_form,strict_explicit_credit,agreement_note,annotator_note
c3,rl_method,yes,shared,message,centralized,rl_method,yes,shared,message,centralized,yes,agree,"Abstract explicitly isolates causal impact of individual messages with counterfactual replay; clean message-level credit."
debate-as-reward,rl_method,yes,debate,message,debate,rl_method,yes,debate,message,debate,no,agree,"Message-level reward signal is plausible, but this is not counterfactual message credit."
puppeteer,rl_method,yes,orchestration,orchestrator,centralized,rl_method,yes,orchestration,orchestrator,centralized,yes,agree,"Central orchestrator is trained with RL to sequence/prioritize agents; orchestrator credit tag is justified."
paramanager,rl_method,yes,orchestration,orchestrator,centralized,rl_method,yes,orchestration,orchestrator,centralized,yes,agree,"Abstract states trainable ParaManager with RL balancing task success, protocol compliance, diversity, and efficiency."
hera,rl_method,partial,orchestration,orchestrator,centralized,rl_method,partial,orchestration,orchestrator,centralized,no,agree,"Good broad orchestration-design tag; weaker as explicit RL credit unless full method shows an RL update."
agentspawn,rl_method,partial,orchestration,orchestrator,swarm,rl_method,partial,orchestration,orchestrator,swarm,no,agree,"Dynamic spawning policy is clearly orchestration-level, but public abstract does not disclose RL training."
kimi-k2-5,industry,yes,orchestration,orchestrator,swarm,industry,yes,orchestration,orchestrator,swarm,yes,agree,"Public Kimi report describes PARL, trainable orchestrator, auxiliary orchestration rewards, and annealing."
owl2025,rl_method,yes,hybrid,orchestrator,hierarchical,rl_method,yes,hybrid,orchestrator,hierarchical,yes,agree,"OpenReview abstract says OWL optimizes a domain-agnostic planner with RL from real-world feedback."
mas-zero2025,framework,no,NA,orchestrator,hierarchical,framework,no,NA,orchestrator,hierarchical,no,agree,"Inference-time meta-design and verification justify broad orchestrator design-signal tag, not RL credit."
kimi-k2-6,industry,partial,NA,NA,swarm,industry,partial,NA,NA,swarm,no,agree,"Deployment-scale envelope only; do not use as independent PARL training evidence."
openai-codex,industry,partial,NA,NA,harness,industry,partial,NA,NA,harness,no,agree_with_note,"Official page discloses coding-agent RL, but not public PARL-style MAS orchestrator credit; notes should avoid saying RL details are simply undisclosed."
claude-code-subagents,industry,no,NA,NA,harness,industry,no,NA,NA,harness,no,agree,"Documentation supports subagent/harness shape, not RL training."
anthropic-c-compiler,industry,no,NA,NA,swarm,industry,no,NA,NA,swarm,no,agree,"Engineering report supports parallel-agent harness evidence, explicitly not a learned orchestrator."
magrpo,rl_method,yes,shared,agent,centralized,rl_method,yes,shared,agent,centralized,yes,agree,"Cooperative MARL framing with shared/team reward and per-agent optimization."
m-grpo,rl_method,yes,hybrid,role,hierarchical,rl_method,yes,hybrid,role,hierarchical,yes,agree,"Hierarchical planner/sub-agent GRPO supports role-level broad credit."
sharp,rl_method,yes,hybrid,agent,hierarchical,rl_method,yes,hybrid,agent,hierarchical,yes,agree,"Shapley credit allocation is agent-level/hierarchical; original tag is reasonable."
agent-lightning,framework,yes,hybrid,agent,harness,framework,yes,hybrid,agent,harness,yes,agree,"Framework decouples agent execution and RL training; agent-level tag is acceptable as broad interface credit."
halo,rl_method,partial,orchestration,role,hierarchical,rl_method,partial,orchestration,orchestrator,hierarchical,no,disagree_credit,"I would tag the broad credit/design signal as orchestrator-level rather than role-level because the salient signal is hierarchical orchestration/search."
context-folding,rl_method,yes,hybrid,turn,hierarchical,rl_method,yes,hybrid,turn,hierarchical,yes,agree,"Context folding operates over long-horizon agent trajectory segments; turn-level tag is defensible."
rema2025,rl_method,yes,hybrid,role,hierarchical,rl_method,yes,hybrid,role,hierarchical,yes,agree,"High-level meta-thinking and low-level reasoning agents make role-level tag reasonable."
collabuiagents2025,rl_method,yes,process,agent,centralized,rl_method,yes,process,agent,centralized,yes,agree,"Title/notes directly indicate credit re-assignment for interactive environment generalization."
comas2026,rl_method,yes,debate,agent,debate,rl_method,yes,debate,agent,debate,yes,agree,"Interaction-derived rewards over co-evolving agents support agent-level broad credit."
learning-to-deliberate2025,rl_method,yes,hybrid,turn,debate,rl_method,yes,hybrid,turn,debate,yes,agree,"Meta-cognitive actions such as persist/refine/concede are turn-level decisions."
multiagent-finetuning2025,rl_method,partial,debate,agent,debate,rl_method,partial,debate,agent,debate,no,agree,"Diverse interaction-generated reasoning chains are MAS-adjacent; partial rather than explicit RL is appropriate."
survey-mas,survey,partial,NA,NA,NA,survey,partial,NA,NA,NA,no,agree,"Survey is retained for scope/background, not as a reward or credit row."
survey-agentic-rl,survey,yes,NA,NA,NA,survey,yes,NA,NA,NA,no,agree,"Agentic RL survey, no specific retained reward/credit mechanism."
multiagentbench2025,benchmark,no,NA,NA,NA,benchmark,no,NA,NA,NA,no,agree,"Benchmark supports evaluation surface; no training reward/credit tag."
agentdojo2024,benchmark,no,NA,NA,NA,benchmark,no,NA,NA,NA,no,agree,"Prompt-injection benchmark, not MAS RL credit."
artifactsbench2025,benchmark,no,verifier,NA,NA,benchmark,no,verifier,NA,NA,no,agree,"MLLM-as-judge/verifier signal is a reasonable evaluator/reward-family tag even without RL."
coma2018,classical_marl,yes,shared,agent,centralized,classical_marl,yes,shared,agent,centralized,yes,agree,"Canonical counterfactual per-agent MARL credit."
dec-pomdp2002,classical_marl,no,NA,NA,NA,classical_marl,no,NA,NA,NA,no,agree,"Formal foundation, not an RL method row under this schema."
ppo2017,rl_method,yes,NA,NA,NA,rl_method,yes,NA,NA,NA,no,agree,"Single-agent RL foundation retained as background; no MAS reward/credit tag."
