key,title,first_author,affiliation,year,arxiv_id,venue,url,category,is_rl,reward_type,credit_granularity,orchestration_form,scenario,is_core,one_liner,verified,notes
magrpo,LLM Collaboration With Multi-Agent Reinforcement Learning,"Liu, Shuo",Northeastern University,2025,2508.04652,arXiv,https://arxiv.org/abs/2508.04652,rl_method,yes,shared,agent,centralized,general,core,Models LLM collaboration as cooperative MARL; proposes MAGRPO,yes,v7 2025-12-09; with Christopher Amato
marft,MARFT: Multi-Agent Reinforcement Fine-Tuning,"Liao, Junwei",Shanghai Innovation Institute / SJTU,2025,2504.16129,arXiv (ICLR 2026 submitted),https://arxiv.org/abs/2504.16129,rl_method,yes,hybrid,agent,centralized,general,core,First systematic LaMAS RFT paradigm,yes,v4 2025-11-03; ICLR 2026 decision pending
m-grpo,Multi-Agent Deep Research: Training Multi-Agent Systems with M-GRPO,"Hong, Haoyang",Ant Group,2025,2511.13288,arXiv,https://arxiv.org/abs/2511.13288,rl_method,yes,hybrid,role,hierarchical,research,core,Hierarchical GRPO; decoupled planner/sub-agent training,yes,v2 2025-11-18; 17-author team
dr-mas,Dr. MAS: Stable Reinforcement Learning for Multi-Agent LLM Systems,"Feng, Lang",Nanyang Technological University,2026,2602.08847,arXiv,https://arxiv.org/abs/2602.08847,rl_method,yes,shared,agent,centralized,general,core,Diagnoses GRPO instability in MAS; agent-wise normalization,yes,v1 2026-02-09
c3,Contextual Counterfactual Credit Assignment for Multi-Agent Reinforcement Learning in LLM Collaboration,"Chen, Yanjun",Hong Kong Polytechnic University,2026,2603.06859,arXiv,https://arxiv.org/abs/2603.06859,rl_method,yes,shared,message,centralized,general,core,Counterfactual causal credit assignment at message level,yes,v1 2026-03-06
sharp,Who Deserves the Reward? SHARP: Shapley Credit-based Optimization for Multi-Agent System,"Li, Yanming",unknown,2026,2602.08335,arXiv,https://arxiv.org/abs/2602.08335,rl_method,yes,hybrid,agent,hierarchical,tool_use,core,Shapley-value-based hierarchical credit assignment,yes,v1 2026-02-09; 14-author team
agent-lightning,Agent Lightning: Train ANY AI Agents with Reinforcement Learning,"Luo, Xufang",Microsoft Research,2025,2508.03680,arXiv,https://arxiv.org/abs/2508.03680,framework,yes,hybrid,agent,harness,general,core,Generic RL training framework decoupling execution and training,yes,v1 2025-08-05
debate-as-reward,Debate as Reward: A Multi-Agent Reward System for Scientific Ideation via RL Post-Training,"Salimi, Moein",Sharif University of Technology,2026,2604.16723,arXiv,https://arxiv.org/abs/2604.16723,rl_method,yes,debate,message,debate,research,core,Multi-agent debate as reward signal for scientific ideation,yes,v1 2026-04-17
matpo,Multi-Agent Tool-Integrated Policy Optimization,"Mo, Zhanfeng",Nanyang Technological University,2025,2510.04678,arXiv,https://arxiv.org/abs/2510.04678,rl_method,yes,role,role,planner_executor_critic,tool_use,core,Single-LLM dual-role (planner+worker) tool-integrated PO,yes,v1 2025-10-06; title is Tool-Integrated not Trajectory
puppeteer,Multi-Agent Collaboration via Evolving Orchestration,"Dang, Yufan",Tsinghua / OpenBMB,2025,2505.19591,NeurIPS 2025,https://arxiv.org/abs/2505.19591,rl_method,yes,orchestration,orchestrator,centralized,general,core,Puppeteer central orchestrator; RL-learned dynamic conducting,yes,v2 2025-10-21; ChatDev team
