record_id,source,query_family,screening_label,identifier,url,date_screened,stage,exclusion_reason
E001,arXiv,multi-agent LLM,Improving Factuality and Reasoning in Language Models through Multiagent Debate,arXiv:2305.14325,https://arxiv.org/abs/2305.14325,2026-04-26,abstract_screen,no RL/post-training component and no new orchestration or credit mechanism
E002,arXiv,multi-agent LLM,Communicative Agents for Software Development,arXiv:2307.07924,https://arxiv.org/abs/2307.07924,2026-04-26,abstract_screen,prompted MAS architecture only and outside RL/post-training scope
E003,arXiv,multi-agent LLM,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,arXiv:2308.08155,https://arxiv.org/abs/2308.08155,2026-04-26,full_text_screen,framework background but not used as load-bearing taxonomy evidence
E004,company docs,multi-agent LLM,CrewAI Agents documentation,CREWAI-DOCS-AGENTS,https://docs.crewai.com/concepts/agents,2026-04-26,artifact_screen,documentation/framework record with insufficient methodological detail for taxonomy coding
E005,arXiv,agent swarm,LLM2Swarm: Robot Swarms that Responsively Reason Plan and Collaborate through LLMs,arXiv:2410.11387,https://arxiv.org/abs/2410.11387,2026-04-26,abstract_screen,robot-swarm architecture with no LLM-MAS RL credit mechanism
E006,arXiv,orchestration,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,arXiv:2303.17580,https://arxiv.org/abs/2303.17580,2026-04-26,abstract_screen,controller workflow for model/tool selection but no MAS RL/post-training
E007,arXiv,orchestration,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,arXiv:2308.00352,https://arxiv.org/abs/2308.00352,2026-04-26,abstract_screen,SOP-based task decomposition but no multi-agent credit assignment
E008,arXiv,credit assignment,A Survey of Multi-Agent Reinforcement Learning with Communication,arXiv:2203.08975,https://arxiv.org/abs/2203.08975,2026-04-26,full_text_screen,general classical MARL communication survey not specifically used in the final conceptual toolkit
E009,arXiv,credit assignment,Counterfactual State Explanations for Reinforcement Learning Agents via Generative Deep Learning,arXiv:2101.12446,https://arxiv.org/abs/2101.12446,2026-04-26,abstract_screen,explanation method with no LLM-MAS training loop
E010,arXiv,reinforcement learning,FireAct: Toward Language Agent Fine-tuning,arXiv:2310.05915,https://arxiv.org/abs/2310.05915,2026-04-26,abstract_screen,single-agent method not used as a foundation beyond already included RL sources
E011,arXiv,reinforcement learning,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,arXiv:2411.02337,https://arxiv.org/abs/2411.02337,2026-04-26,abstract_screen,single-agent browser RL and not MAS-specific
E012,OpenReview,post-training,Advancing Tool-Augmented Large Language Models: Integrating Insights from Errors in Inference Trees,OpenReview:ZIpdu0cHYu,https://openreview.net/forum?id=ZIpdu0cHYu,2026-04-26,abstract_screen,single-agent tool-use preference optimization with no MAS structure
E013,OpenReview,post-training,Diversity-Enhanced Reasoning for Subjective Questions,OpenReview:1Bf0tToGT1,https://openreview.net/forum?id=1Bf0tToGT1,2026-04-26,abstract_screen,multi-role reasoning optimization but not an LLM-MAS orchestration or credit method
E014,ACL Anthology,multi-agent LLM,LONGAGENT: Achieving Question Answering for 128k-Token-Long Documents through Multi-Agent Collaboration,ACL:2024.emnlp-main.912,https://aclanthology.org/2024.emnlp-main.912/,2026-04-26,abstract_screen,evaluation of prompted collaboration only
E015,arXiv,multi-agent LLM,Debating with More Persuasive LLMs Leads to More Truthful Answers,arXiv:2402.06782,https://arxiv.org/abs/2402.06782,2026-04-26,abstract_screen,no RL/post-training and no reusable credit taxonomy signal
E016,arXiv,prompt injection,Prompt Injection attack against LLM-integrated Applications,arXiv:2306.05499,https://arxiv.org/abs/2306.05499,2026-04-26,full_text_screen,single-agent attack paper superseded by included agent/security benchmarks
E017,arXiv,prompt injection,PoisonedRAG: Knowledge Poisoning Attacks to Retrieval-Augmented Generation of Large Language Models,arXiv:2402.07867,https://arxiv.org/abs/2402.07867,2026-04-26,abstract_screen,RAG poisoning only and no agent-team propagation
E018,arXiv,tool use,Toolformer: Language Models Can Teach Themselves to Use Tools,arXiv:2302.04761,https://arxiv.org/abs/2302.04761,2026-04-26,abstract_screen,tool-use foundation outside MAS scope and not cited in taxonomy
E019,arXiv,tool use,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,arXiv:2304.08244,https://arxiv.org/abs/2304.08244,2026-04-26,full_text_screen,benchmark adjacent but less central than ToolBench/MTU-Bench
E020,arXiv,benchmark,AgentBench: Evaluating LLMs as Agents,arXiv:2308.03688,https://arxiv.org/abs/2308.03688,2026-04-26,full_text_screen,single-agent benchmark with no public trace-level MAS metrics E2-E4
E021,arXiv,benchmark,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,arXiv:2401.13178,https://arxiv.org/abs/2401.13178,2026-04-26,full_text_screen,agent benchmark record without reward/credit/orchestration instrumentation
E022,arXiv,benchmark,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,arXiv:2308.10848,https://arxiv.org/abs/2308.10848,2026-04-26,duplicate_screen,overlapping prompted-collaboration signal with retained LLM-MAS benchmark and framework evidence
E023,company docs,industrial agent system,Devin product documentation,DEVIN-DOCS,https://docs.devinenterprise.com/,2026-04-26,artifact_screen,product docs without disclosed team topology or training claims
E024,company blog,industrial agent system,Cognition blog index with Devin parallel-agent product notes,COGNITION-BLOG,https://cognition.ai/,2026-04-26,artifact_screen,marketing blog with insufficient technical detail for evidence table
E025,GitHub/project page,industrial agent system,OpenAI Swarm experimental educational framework,github:openai/swarm,https://github.com/openai/swarm,2026-04-26,artifact_screen,demo-only system with no stable public specification
E026,arXiv,multi-agent LLM,CAMEL: Communicative Agents for Mind Exploration of Large Scale Language Model Society,arXiv:2303.17760,https://arxiv.org/abs/2303.17760,2026-04-26,artifact_screen,role-playing framework not tied to RL/post-training evidence
E027,company docs,multi-agent LLM,LangGraph workflows and agents documentation,LANGGRAPH-DOCS-WORKFLOWS,https://docs.langchain.com/oss/javascript/langgraph/workflows-agents,2026-04-26,artifact_screen,toolkit documentation with no paper-level evaluation
E028,arXiv,classical MARL,Learning to Communicate in Multi-Agent Reinforcement Learning: A Review,arXiv:1911.05438,https://arxiv.org/abs/1911.05438,2026-04-26,full_text_screen,classical communication survey not directly referenced in final credit hierarchy
E029,arXiv,classical MARL,Emergent Communication in Multi-Agent Reinforcement Learning for Future Wireless Networks,arXiv:2309.06021,https://arxiv.org/abs/2309.06021,2026-04-26,full_text_screen,domain-specific emergent-communication background not needed after included MARL primitives
E030,arXiv,safety,AutoDefense: Multi-Agent LLM Defense against Jailbreak Attacks,arXiv:2403.04783,https://arxiv.org/abs/2403.04783,2026-04-26,abstract_screen,defense framework without trace-level RL or benchmark instrumentation used in safety taxonomy
E031,arXiv,safety,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,arXiv:2402.08567,https://arxiv.org/abs/2402.08567,2026-04-26,full_text_screen,infectious jailbreak study lacks the trace-level attack instrumentation used in safety taxonomy
E032,arXiv,orchestration,RouteLLM: Learning to Route LLMs with Preference Data,arXiv:2406.18665,https://arxiv.org/abs/2406.18665,2026-04-26,abstract_screen,pipeline router but not multi-agent RL or orchestration-trace training
